호선,역명,위도,경도,운행구간,설치위치
6,증산,37.583978,126.909765,B1-B2,내부
6,창신,37.579393,127.015463,1F-B1,4번 출구
6,창신,37.579743,127.015253,B1-B4,내부
6,청구,37.560039,127.013907,1F-B1,3번 출구
6,청구,37.560231,127.013786,B1-B4,내부
6,태릉입구,37.617899,127.075958,1F-B1,6번 출구
6,태릉입구,37.617308,127.075287,1F-B1,8번 출구
6,태릉입구,37.617625,127.075614,B1-B2,내부
6,한강진,37.540149,127.001887,1F-B1,3번 출구
6,한강진,37.539571,127.001734,B1-B4,내부
6,합정,37.548731,126.913719,1F-B1,7번 출구
6,합정,37.549141,126.913432,B1-B4,내부
6,화랑대,37.620028,127.083844,1F-B1,1번 출구
6,화랑대,37.61964,127.085432,1F-B1,6번 출구
